Exp,ID,Block,trial,trial_type,cueLoc,stimLoc,locDist,FixDur,SOA,CTI,stim,response,correct,RTms,prolific_id,xPixels,yPixels,dpi
SaccadeExp7_font12,17660,Pro,1,exp,1,1,same,200,650,400,R,R,TRUE,1013.67299999995,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,2,exp,1,1,same,1400,300,50,P,P,TRUE,392.494999999995,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,3,exp,4,4,same,200,650,400,R,R,TRUE,220.591000000015,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,4,exp,1,1,same,600,650,400,B,B,TRUE,404.363000000012,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,5,exp,3,3,same,200,300,50,B,B,TRUE,474.77899999998,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,6,exp,1,1,same,1400,650,400,B,B,TRUE,369.592999999993,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,7,exp,1,1,same,600,300,50,R,R,TRUE,307.35699999996,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,8,exp,2,2,same,1400,650,400,R,R,TRUE,382.831000000006,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,9,exp,3,3,same,1000,300,50,P,P,TRUE,338.944999999949,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,10,exp,3,3,same,1400,300,50,P,P,TRUE,300.072999999975,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,11,exp,1,1,same,1400,300,50,B,B,TRUE,454.533000000054,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,12,exp,4,4,same,200,300,50,B,B,TRUE,423.951000000001,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,13,exp,4,4,same,600,650,400,B,B,TRUE,308.731000000029,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,14,exp,2,2,same,1000,300,50,P,P,TRUE,364.508999999962,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,15,exp,3,3,same,1400,650,400,B,B,TRUE,279.319000000018,5fb079128b511d47995da086,1920,1080,1
