ID,Block,trial,cueLoc,stimLoc,locDist,FixDur,CTI,stim,response,correct,RTms,prolific_id
17321,Colour,136,5,4,NA,200,200,P,P,TRUE,789.20299999998,611e283064ad72ef8c6f48cd
17321,Colour,137,5,2,NA,200,400,R,P,FALSE,251.734999928507,611e283064ad72ef8c6f48cd
17321,Colour,138,5,3,NA,1800,50,P,B,FALSE,274.060999999987,611e283064ad72ef8c6f48cd
17321,Colour,139,5,2,NA,1000,400,P,B,FALSE,148.74999995227,611e283064ad72ef8c6f48cd
17321,Colour,140,5,2,NA,1800,400,P,R,FALSE,304.962999976124,611e283064ad72ef8c6f48cd
17321,Colour,141,5,1,NA,600,50,R,R,TRUE,280.599999928498,611e283064ad72ef8c6f48cd
17321,Colour,142,5,1,NA,1400,200,B,R,FALSE,242.067000000039,611e283064ad72ef8c6f48cd
17321,Colour,143,5,4,NA,1000,50,R,R,TRUE,159.891999976127,611e283064ad72ef8c6f48cd
17321,Colour,144,5,1,NA,1800,50,P,P,TRUE,29.0100000000093,611e283064ad72ef8c6f48cd
17321,Colour,145,5,2,NA,600,50,B,P,FALSE,516.140999952331,611e283064ad72ef8c6f48cd
17321,Colour,146,5,4,NA,1000,400,B,B,TRUE,102.971999999951,611e283064ad72ef8c6f48cd
17321,Colour,147,5,2,NA,1400,200,P,B,FALSE,156.941999976174,611e283064ad72ef8c6f48cd
17321,Colour,148,5,4,NA,1000,400,R,B,FALSE,62.4759999522939,611e283064ad72ef8c6f48cd
17321,Colour,149,5,4,NA,1000,200,B,B,TRUE,362.498999999953,611e283064ad72ef8c6f48cd
17321,Colour,150,5,1,NA,200,400,P,B,FALSE,494.890000000014,611e283064ad72ef8c6f48cd
17321,Colour,151,5,3,NA,200,400,R,P,FALSE,134.330999904661,611e283064ad72ef8c6f48cd
17321,Colour,152,5,3,NA,600,400,B,R,FALSE,371.54700000002,611e283064ad72ef8c6f48cd
17321,Colour,153,5,2,NA,600,200,B,R,FALSE,162.270999928471,611e283064ad72ef8c6f48cd
17321,Colour,154,5,3,NA,1000,50,B,R,FALSE,204.123999999953,611e283064ad72ef8c6f48cd
17321,Colour,155,5,1,NA,1400,200,P,R,FALSE,227.766999952262,611e283064ad72ef8c6f48cd
17321,Colour,156,5,1,NA,1000,50,P,R,FALSE,306.003000000026,611e283064ad72ef8c6f48cd
17321,Colour,157,5,2,NA,1400,50,B,P,FALSE,261.503999952343,611e283064ad72ef8c6f48cd
17321,Colour,158,5,3,NA,1000,400,B,B,TRUE,147.896999976132,611e283064ad72ef8c6f48cd
17321,Colour,159,5,2,NA,1800,200,R,B,FALSE,213.464999976102,611e283064ad72ef8c6f48cd
17321,Colour,160,5,3,NA,1000,50,P,B,FALSE,504.252999952296,611e283064ad72ef8c6f48cd
17321,Colour,161,5,2,NA,1000,50,P,R,FALSE,85.2549999285256,611e283064ad72ef8c6f48cd
17321,Colour,162,5,4,NA,600,200,P,P,TRUE,521.540999904624,611e283064ad72ef8c6f48cd
17321,Colour,163,5,2,NA,1400,50,P,P,TRUE,156.093999976176,611e283064ad72ef8c6f48cd
17321,Colour,164,5,3,NA,600,200,R,P,FALSE,62.5379999523284,611e283064ad72ef8c6f48cd
17321,Colour,165,5,2,NA,600,50,P,R,FALSE,1532.46499995235,611e283064ad72ef8c6f48cd
17321,Colour,166,5,3,NA,200,200,R,B,FALSE,267.996999976109,611e283064ad72ef8c6f48cd
17321,Colour,167,5,4,NA,200,200,R,P,FALSE,487.455999952275,611e283064ad72ef8c6f48cd
17321,Colour,168,5,2,NA,200,50,B,B,TRUE,155.989999999991,611e283064ad72ef8c6f48cd
17321,Colour,169,5,1,NA,1400,400,P,P,TRUE,333.856999928481,611e283064ad72ef8c6f48cd
17321,Colour,170,5,4,NA,1000,50,P,P,TRUE,228.34899997618,611e283064ad72ef8c6f48cd
17321,Colour,171,5,2,NA,1400,400,B,B,TRUE,138.09600000002,611e283064ad72ef8c6f48cd
17321,Colour,172,5,4,NA,1000,400,P,B,FALSE,172.213999928441,611e283064ad72ef8c6f48cd
17321,Colour,173,5,3,NA,600,200,P,B,FALSE,302.939999976195,611e283064ad72ef8c6f48cd
17321,Colour,174,5,3,NA,1800,200,R,B,FALSE,217.442000000039,611e283064ad72ef8c6f48cd
17321,Colour,175,5,3,NA,600,50,B,B,TRUE,192.526999952272,611e283064ad72ef8c6f48cd
17321,Colour,176,5,2,NA,600,200,R,B,FALSE,323.249999928521,611e283064ad72ef8c6f48cd
17321,Colour,177,5,3,NA,1000,200,R,P,FALSE,173.29899992852,611e283064ad72ef8c6f48cd
17321,Colour,178,5,1,NA,600,200,B,R,FALSE,360.440999904647,611e283064ad72ef8c6f48cd
17321,Colour,179,5,2,NA,200,400,B,R,FALSE,279.398999928497,611e283064ad72ef8c6f48cd
17321,Colour,180,5,3,NA,1400,400,B,R,FALSE,85.3719999523601,611e283064ad72ef8c6f48cd
17321,Central,0,5,1,NA,600,50,P,B,FALSE,416.222999999998,611e283064ad72ef8c6f48cd
17321,Central,0,5,4,NA,1800,200,R,R,TRUE,146.037999999942,611e283064ad72ef8c6f48cd
17321,Central,0,5,1,NA,1400,200,B,B,TRUE,65.9980000000214,611e283064ad72ef8c6f48cd
17321,Central,0,5,2,NA,1800,50,P,B,FALSE,161.950999976136,611e283064ad72ef8c6f48cd
17321,Central,0,5,3,NA,200,50,B,P,FALSE,307.930999928503,611e283064ad72ef8c6f48cd
17321,Central,0,5,1,NA,1000,50,B,B,TRUE,194.683999976143,611e283064ad72ef8c6f48cd
17321,Central,0,5,3,NA,1000,400,B,B,TRUE,248.124999976135,611e283064ad72ef8c6f48cd
17321,Central,0,5,1,NA,600,400,R,R,TRUE,312.61499995226,611e283064ad72ef8c6f48cd
17321,Central,0,5,1,NA,1000,400,B,B,TRUE,124.893999999971,611e283064ad72ef8c6f48cd
17321,Central,0,5,2,NA,600,50,R,P,FALSE,213.993999952334,611e283064ad72ef8c6f48cd
17321,Central,1,5,1,NA,600,400,R,B,FALSE,537.682999952347,611e283064ad72ef8c6f48cd
17321,Central,2,5,1,NA,1800,50,B,R,FALSE,167.810999928508,611e283064ad72ef8c6f48cd
17321,Central,3,5,3,NA,200,400,R,B,FALSE,260.985999928438,611e283064ad72ef8c6f48cd
17321,Central,4,5,2,NA,1800,50,B,B,TRUE,29.4499999284744,611e283064ad72ef8c6f48cd
17321,Central,5,5,1,NA,600,200,R,B,FALSE,227.27099999995,611e283064ad72ef8c6f48cd
17321,Central,6,5,2,NA,200,50,P,R,FALSE,213.178999976139,611e283064ad72ef8c6f48cd
17321,Central,7,5,2,NA,1400,400,B,P,FALSE,128.233999952325,611e283064ad72ef8c6f48cd
17321,Central,8,5,1,NA,1800,200,P,P,TRUE,112.030000000028,611e283064ad72ef8c6f48cd
17321,Central,9,5,3,NA,1400,200,R,P,FALSE,356.706999928458,611e283064ad72ef8c6f48cd
17321,Central,10,5,2,NA,1000,400,B,B,TRUE,141.060999976122,611e283064ad72ef8c6f48cd
17321,Central,11,5,3,NA,1800,200,P,B,FALSE,64.2339999523247,611e283064ad72ef8c6f48cd
17321,Central,12,5,3,NA,1400,400,B,B,TRUE,152.565999928513,611e283064ad72ef8c6f48cd
17321,Central,13,5,1,NA,1800,200,R,R,TRUE,24.4609999046661,611e283064ad72ef8c6f48cd
17321,Central,14,5,2,NA,600,50,B,B,TRUE,549.720999952289,611e283064ad72ef8c6f48cd
17321,Central,15,5,4,NA,600,200,P,B,FALSE,181.970999952289,611e283064ad72ef8c6f48cd
17321,Central,16,5,4,NA,1000,200,B,B,TRUE,150.738999976194,611e283064ad72ef8c6f48cd
17321,Central,17,5,4,NA,1800,400,B,B,TRUE,152.6269999285,611e283064ad72ef8c6f48cd
17321,Central,18,5,1,NA,1000,50,B,B,TRUE,535.697999904631,611e283064ad72ef8c6f48cd
17321,Central,19,5,1,NA,600,200,P,B,FALSE,377.729999952368,611e283064ad72ef8c6f48cd
17321,Central,20,5,2,NA,1400,400,P,R,FALSE,257.050999928499,611e283064ad72ef8c6f48cd
17321,Central,21,5,1,NA,1000,50,P,P,TRUE,425.888999952353,611e283064ad72ef8c6f48cd
